t,mean_phi,mean_C,mean_psi_s,center_phi,center_C,center_psi_s
0.0,1.0045473064588084,1.0002008205348065,1.0043456085996914,1.018147533015769,1.000203552084081,1.017940329157358
0.12,1.0328568190473608,1.0014238295808906,1.0313873942745846,1.1280954271324406,1.0015003605637132,1.1264054276380513
0.24,1.0628904515814281,1.002677903875035,1.0600463083279628,1.239974209726029,1.0029268498019506,1.2363557535227732
0.36,1.0937300836186243,1.0039633017849663,1.0893958564040729,1.353951564326127,1.0044841309023886,1.3479081836698423
0.48,1.1250604923036234,1.0052806463239277,1.1191132502601313,1.470225569196478,1.006174892577727,1.461205384975115
0.6,1.2080103643422946,1.0277274183246758,1.1640974722856758,2.0488852392676367,1.1976216843297756,1.7105585882975818
0.72,1.3091650941104283,1.058295600081443,1.2034748180236252,2.7891261672379066,1.4611085561280213,1.908758801466654
0.84,1.4133656054083978,1.0898395589747183,1.236795715220297,3.554440215953378,1.73226667520795,2.0517861149873244
0.96,1.5215088842299973,1.1223980128691247,1.2667662946557061,4.352820955191044,2.0114000665162055,2.1639909917926436
1.08,1.634637519647073,1.1560201620681265,1.2949147837025778,5.19356940039871,2.2988941224733033,2.2591186797074396
1.2,1.7539910726132726,1.1907681622628645,1.3221978218801593,6.087756182797019,2.5952355502955093,2.3457665400857284
1.32,1.8810765599699062,1.2267197994226662,1.349278838233898,7.048855745143271,2.901033317974073,2.4298902428607874
1.44,2.0177668750284905,1.263972135731669,1.3766720278924671,8.093631954309249,3.2170472065872593,2.5161007524444985
1.56,2.1664414850555365,1.3026465304069146,1.4048271670067267,9.243404192197541,3.5442271349940215,2.608429378127475
1.68,2.330192914264368,1.3428956569336532,1.434188853085296,10.52590550078343,3.8837681312126096,2.7108633492181107
1.8,2.5131386488872707,1.3849135010338935,1.4652482117271222,11.978089508427802,4.2371886723606975,2.8278145553818685
1.92,2.720907752846867,1.4289499488120236,1.4986002017984186,13.650509731580392,4.606445023823883,2.9646400721923225
2.04,2.961428587658707,1.4753326959823834,1.5350208733683952,15.614408791171801,4.994103018710145,3.128344372049217
2.16,3.246260006394086,1.5245013182986855,1.5755865921612993,17.973698867396124,5.403605298204572,3.3286625640502425
2.2800000000000002,3.592959154941304,1.5770625381813084,1.6218763460724896,20.886271584921104,5.839705029177642,3.57989689364263
2.4,4.02956364177601,1.633884644751251,1.67634366622175,24.60433716805572,6.309207351188844,3.904289456688082
2.52,4.097433237549216,1.6934210561323582,1.670137236856687,25.0,6.799651365775135,3.6804871626057825
2.64,4.121776274056171,1.7530286376074262,1.6618523376514591,25.0,7.290717874266944,3.4332790595018547
2.7600000000000002,4.146570827629877,1.812698768522167,1.6575171951758405,25.0,7.782334275131495,3.2170076960525846
2.88,4.676379158228664,2.072472808647135,1.8139184151981194,25.0,8.274500397814553,3.0262004709959376
3.0,5.220155059980897,2.3324476425932685,1.924635591337477,25.0,8.76721605088339,2.856605214854208
3.12,5.782321750061941,2.5926209214718434,2.0117498615808285,24.9984375,9.260481020315574,2.7047113717975426
3.24,6.367414967232315,2.8530358595318517,2.0867612425457054,24.9890625,9.754295066984731,2.567238898027534
3.36,6.983404387764183,3.1138587434642164,2.1565981925276865,24.9890625,10.248657924193392,2.4437359760648096
3.48,7.63484354031154,3.375324880601469,2.2254113180547725,24.974999999999998,10.74356929526627,2.3300924986073586
3.6,8.333474844114164,3.6371247513230256,2.2972921830596533,24.974999999999998,11.239028851164608,2.227635656874559
3.72,9.08830939246479,3.899263079219592,2.3750260731887947,24.974999999999998,11.735036228089726,2.133714648854275
3.84,9.912570695958399,4.16174600467124,2.461459177665814,24.974999999999998,12.231591025049145,2.047304980454114
3.96,10.823123536387483,4.4245816650195815,2.5596593494589857,24.974999999999998,12.728692801362692,1.9675398983563677
4.08,11.832032664908853,4.68778272868467,2.6704665939662724,24.974999999999998,13.226348438948946,1.89368020780977
4.2,12.974887181225203,4.951366687353452,2.8005729981675778,24.974999999999998,13.72456798450295,1.8250921296783575
4.32,14.29275020863646,5.21535481882194,2.9563462595128693,24.974999999999998,14.223351310722457,1.7612306068353931
4.44,15.840592208564727,5.479777459515272,3.1458159656296956,24.974999999999998,14.722698264401448,1.7016232532494704
4.5600000000000005,17.6980692324393,5.73300928009918,3.381805266948218,24.974999999999998,15.117587663630783,1.6573649245409112
4.68,19.985194440951666,5.9734248436629,3.681591343293844,24.974999999999998,15.39282268376666,1.6277091609313088
4.8,22.89158767639693,6.214210210073268,4.071077797367154,24.974999999999998,15.66835028123096,1.5990926885565806
4.92,23.723862446125015,6.447434065722931,4.044145853057801,24.974999999999998,15.869139856535806,1.5780460319706555
5.04,23.725469025727477,6.679271045107855,3.8737455624795114,24.974999999999998,16.055115699230615,1.5589086375685792
5.16,23.72711701008491,6.911374848836167,3.717519776792499,24.974999999999998,16.24127401175399,1.5403057436303484
5.28,23.72880803963576,7.143745497997265,3.5737658191836874,24.974999999999998,16.427613954778003,1.5222135011845692
5.4,23.730543845275903,7.376383001748972,3.4410446611020813,24.974999999999998,16.614134645561474,1.5046095130897386
5.5200000000000005,23.732326254412776,7.609287356639292,3.318131675849403,24.974999999999998,16.800835155553855,1.4874727245607986
5.64,23.73415719754291,7.842458545882461,3.203978063294085,24.974999999999998,16.987714507836866,1.4707833235218477
5.76,23.73603871540202,8.060889036585065,3.0990028292064826,24.974999999999998,17.039704156387273,1.4664250929411196
5.88,23.737972966742873,8.279568266910038,3.0010593667918264,24.974999999999998,17.09170837507523,1.4621037723160337
6.0,23.73996223680284,8.498496153575612,2.909468286962756,24.974999999999998,17.143725829997678,1.4578188940347645
6.12,23.74200894653068,8.71767259650248,2.823635548818115,24.974999999999998,17.195755126494554,1.4535700031341319
6.24,23.7441156626505,8.937097477793738,2.743039475582331,24.974999999999998,17.24779480554068,1.4493566571740266
6.36,23.746111497539587,9.156770660638752,2.6672030640704736,24.974999999999998,17.299843339868275,1.445178426130759
6.48,23.74834656568538,9.376691988133906,2.5957537591404307,24.974999999999998,17.35189912979517,1.4410348923100718
6.6000000000000005,23.749261441277252,9.596861282012473,2.528177504493458,24.974999999999998,17.403960498731315,1.4369256502806471
6.72,23.751637172614004,9.817278341274955,2.46442565469663,24.974999999999998,17.45602568833298,1.432850306829112
6.84,23.75408835346887,10.037942940710273,2.4040709714900084,24.974999999999998,17.50809285327076,1.4288084809376749
6.96,23.75661869601685,10.258854829297174,2.3468551107592472,24.974999999999998,17.56016005557367,1.4247998037856937
7.08,23.75923216106186,10.480013728473889,2.2925457908113853,24.974999999999998,17.612225258507067,1.4208239187766987
