step,t,beta,C,Ms,psi,regime
402,20.1,0.02196,1.9055,10000.0,10000.0,overload
403,20.15,0.02194,1.908,10000.0,10000.0,overload
404,20.2,0.02192,1.9104,10000.0,10000.0,overload
405,20.25,0.0219,1.9128,10000.0,10000.0,overload
406,20.3,0.02188,1.9152,10000.0,10000.0,overload
407,20.35,0.02186,1.9176,10000.0,10000.0,overload
408,20.4,0.02184,1.92,10000.0,10000.0,overload
409,20.45,0.02182,1.9224,10000.0,10000.0,overload
410,20.5,0.0218,1.9248,10000.0,10000.0,overload
411,20.55,0.02178,1.9272,10000.0,10000.0,overload
412,20.6,0.02176,1.9296,10000.0,10000.0,overload
413,20.65,0.02174,1.932,10000.0,10000.0,overload
414,20.7,0.02172,1.9344,10000.0,10000.0,overload
415,20.75,0.0217,1.9368,10000.0,10000.0,overload
416,20.8,0.02168,1.9392,10000.0,10000.0,overload
417,20.85,0.02166,1.9416,10000.0,10000.0,overload
418,20.9,0.02164,1.944,10000.0,10000.0,overload
419,20.95,0.02162,1.9464,10000.0,10000.0,overload
420,21.0,0.0216,1.9488,10000.0,10000.0,overload
421,21.05,0.02158,1.9512,10000.0,10000.0,overload
422,21.1,0.02156,1.9536,10000.0,10000.0,overload
423,21.15,0.02154,1.956,10000.0,10000.0,overload
424,21.2,0.02152,1.9584,10000.0,10000.0,overload
425,21.25,0.0215,1.9608,10000.0,10000.0,overload
426,21.3,0.02148,1.9632,10000.0,10000.0,overload
427,21.35,0.02146,1.9656,10000.0,10000.0,overload
428,21.4,0.02144,1.968,10000.0,10000.0,overload
429,21.45,0.02142,1.9704,10000.0,10000.0,overload
430,21.5,0.0214,1.9728,10000.0,10000.0,overload
431,21.55,0.02138,1.9751,10000.0,10000.0,overload
432,21.6,0.02136,1.9775,10000.0,10000.0,overload
433,21.65,0.02134,1.9799,10000.0,10000.0,overload
434,21.7,0.02132,1.9823,10000.0,10000.0,overload
435,21.75,0.0213,1.9847,10000.0,10000.0,overload
436,21.8,0.02128,1.9871,10000.0,10000.0,overload
437,21.85,0.02126,1.9895,10000.0,10000.0,overload
438,21.9,0.02124,1.9919,10000.0,10000.0,overload
439,21.95,0.02122,1.9943,10000.0,10000.0,overload
440,22.0,0.0212,1.9966,10000.0,10000.0,overload
441,22.05,0.02118,1.999,10000.0,10000.0,overload
442,22.1,0.02116,2.0014,10000.0,10000.0,overload
443,22.15,0.02114,2.0038,10000.0,10000.0,overload
444,22.2,0.02112,2.0062,10000.0,10000.0,overload
445,22.25,0.0211,2.0086,10000.0,10000.0,overload
446,22.3,0.02108,2.0109,10000.0,10000.0,overload
447,22.35,0.02106,2.0133,10000.0,10000.0,overload
448,22.4,0.02104,2.0157,10000.0,10000.0,overload
449,22.45,0.02102,2.0181,10000.0,10000.0,overload
450,22.5,0.021,2.0205,10000.0,10000.0,overload
451,22.55,0.02098,2.0228,10000.0,10000.0,overload
452,22.6,0.02096,2.0252,10000.0,10000.0,overload
453,22.65,0.02094,2.0276,10000.0,10000.0,overload
454,22.7,0.02092,2.03,10000.0,10000.0,overload
455,22.75,0.0209,2.0324,10000.0,10000.0,overload
456,22.8,0.02088,2.0347,10000.0,10000.0,overload
457,22.85,0.02086,2.0371,10000.0,10000.0,overload
458,22.9,0.02084,2.0395,10000.0,10000.0,overload
459,22.95,0.02082,2.0419,10000.0,10000.0,overload
460,23.0,0.0208,2.0443,10000.0,10000.0,overload
461,23.05,0.02078,2.0466,10000.0,10000.0,overload
462,23.1,0.02076,2.049,10000.0,10000.0,overload
463,23.15,0.02074,2.0514,10000.0,10000.0,overload
464,23.2,0.02072,2.0538,10000.0,10000.0,overload
465,23.25,0.0207,2.0561,10000.0,10000.0,overload
466,23.3,0.02068,2.0585,10000.0,10000.0,overload
467,23.35,0.02066,2.0609,10000.0,10000.0,overload
468,23.4,0.02064,2.0633,10000.0,10000.0,overload
469,23.45,0.02062,2.0656,10000.0,10000.0,overload
470,23.5,0.0206,2.068,10000.0,10000.0,overload
471,23.55,0.02058,2.0704,10000.0,10000.0,overload
472,23.6,0.02056,2.0727,10000.0,10000.0,overload
473,23.65,0.02054,2.0751,10000.0,10000.0,overload
474,23.7,0.02052,2.0775,10000.0,10000.0,overload
475,23.75,0.0205,2.0799,10000.0,10000.0,overload
476,23.8,0.02048,2.0822,10000.0,10000.0,overload
477,23.85,0.02046,2.0846,10000.0,10000.0,overload
478,23.9,0.02044,2.087,10000.0,10000.0,overload
479,23.95,0.02042,2.0893,10000.0,10000.0,overload
480,24.0,0.0204,2.0917,10000.0,10000.0,overload
481,24.05,0.02038,2.0941,10000.0,10000.0,overload
482,24.1,0.02036,2.0964,10000.0,10000.0,overload
483,24.15,0.02034,2.0988,10000.0,10000.0,overload
484,24.2,0.02032,2.1012,10000.0,10000.0,overload
485,24.25,0.0203,2.1035,10000.0,10000.0,overload
486,24.3,0.02028,2.1059,10000.0,10000.0,overload
487,24.35,0.02026,2.1083,10000.0,10000.0,overload
488,24.4,0.02024,2.1106,10000.0,10000.0,overload
489,24.45,0.02022,2.113,10000.0,10000.0,overload
490,24.5,0.0202,2.1154,10000.0,10000.0,overload
491,24.55,0.02018,2.1177,10000.0,10000.0,overload
492,24.6,0.02016,2.1201,10000.0,10000.0,overload
493,24.65,0.02014,2.1225,10000.0,10000.0,overload
494,24.7,0.02012,2.1248,10000.0,10000.0,overload
495,24.75,0.0201,2.1272,10000.0,10000.0,overload
496,24.8,0.02008,2.1296,10000.0,10000.0,overload
497,24.85,0.02006,2.1319,10000.0,10000.0,overload
498,24.9,0.02004,2.1343,10000.0,10000.0,overload
499,24.95,0.02002,2.1367,10000.0,10000.0,overload
500,25.0,0.02,2.139,10000.0,10000.0,overload
501,25.05,0.01998,2.1414,10000.0,10000.0,overload
502,25.1,0.01996,2.1437,10000.0,10000.0,overload
503,25.15,0.01994,2.1461,10000.0,10000.0,overload
504,25.2,0.01992,2.1485,10000.0,10000.0,overload
505,25.25,0.0199,2.1508,10000.0,10000.0,overload
506,25.3,0.01988,2.1532,10000.0,10000.0,overload
507,25.35,0.01986,2.1556,10000.0,10000.0,overload
508,25.4,0.01984,2.1579,10000.0,10000.0,overload
509,25.45,0.01982,2.1603,10000.0,10000.0,overload
510,25.5,0.0198,2.1626,10000.0,10000.0,overload
511,25.55,0.01978,2.165,10000.0,10000.0,overload
512,25.6,0.01976,2.1674,10000.0,10000.0,overload
513,25.65,0.01974,2.1697,10000.0,10000.0,overload
514,25.7,0.01972,2.1721,10000.0,10000.0,overload
515,25.75,0.0197,2.1744,10000.0,10000.0,overload
516,25.8,0.01968,2.1768,10000.0,10000.0,overload
517,25.85,0.01966,2.1792,10000.0,10000.0,overload
518,25.9,0.01964,2.1815,10000.0,10000.0,overload
519,25.95,0.01962,2.1839,10000.0,10000.0,overload
520,26.0,0.0196,2.1862,10000.0,10000.0,overload
521,26.05,0.01958,2.1886,10000.0,10000.0,overload
522,26.1,0.01956,2.191,10000.0,10000.0,overload
523,26.15,0.01954,2.1933,10000.0,10000.0,overload
524,26.2,0.01952,2.1957,10000.0,10000.0,overload
525,26.25,0.0195,2.198,10000.0,10000.0,overload
526,26.3,0.01948,2.2004,10000.0,10000.0,overload
527,26.35,0.01946,2.2028,10000.0,10000.0,overload
528,26.4,0.01944,2.2051,10000.0,10000.0,overload
529,26.45,0.01942,2.2075,10000.0,10000.0,overload
530,26.5,0.0194,2.2098,10000.0,10000.0,overload
531,26.55,0.01938,2.2122,10000.0,10000.0,overload
532,26.6,0.01936,2.2146,10000.0,10000.0,overload
533,26.65,0.01934,2.2169,10000.0,10000.0,overload
534,26.7,0.01932,2.2193,10000.0,10000.0,overload
535,26.75,0.0193,2.2216,10000.0,10000.0,overload
536,26.8,0.01928,2.224,10000.0,10000.0,overload
537,26.85,0.01926,2.2263,10000.0,10000.0,overload
538,26.9,0.01924,2.2287,10000.0,10000.0,overload
539,26.95,0.01922,2.2311,10000.0,10000.0,overload
540,27.0,0.0192,2.2334,10000.0,10000.0,overload
541,27.05,0.01918,2.2358,10000.0,10000.0,overload
542,27.1,0.01916,2.2381,10000.0,10000.0,overload
543,27.15,0.01914,2.2405,10000.0,10000.0,overload
544,27.2,0.01912,2.2429,10000.0,10000.0,overload
545,27.25,0.0191,2.2452,10000.0,10000.0,overload
546,27.3,0.01908,2.2476,10000.0,10000.0,overload
547,27.35,0.01906,2.2499,10000.0,10000.0,overload
548,27.4,0.01904,2.2523,10000.0,10000.0,overload
549,27.45,0.01902,2.2546,10000.0,10000.0,overload
550,27.5,0.019,2.257,10000.0,10000.0,overload
551,27.55,0.01898,2.2594,10000.0,10000.0,overload
552,27.6,0.01896,2.2617,10000.0,10000.0,overload
553,27.65,0.01894,2.2641,10000.0,10000.0,overload
554,27.7,0.01892,2.2664,10000.0,10000.0,overload
555,27.75,0.0189,2.2688,10000.0,10000.0,overload
556,27.8,0.01888,2.2711,10000.0,10000.0,overload
557,27.85,0.01886,2.2735,10000.0,10000.0,overload
558,27.9,0.01884,2.2759,10000.0,10000.0,overload
559,27.95,0.01882,2.2782,10000.0,10000.0,overload
560,28.0,0.0188,2.2806,10000.0,10000.0,overload
561,28.05,0.01878,2.2829,10000.0,10000.0,overload
562,28.1,0.01876,2.2853,10000.0,10000.0,overload
563,28.15,0.01874,2.2877,10000.0,10000.0,overload
564,28.2,0.01872,2.29,10000.0,10000.0,overload
565,28.25,0.0187,2.2924,10000.0,10000.0,overload
566,28.3,0.01868,2.2947,10000.0,10000.0,overload
567,28.35,0.01866,2.2971,10000.0,10000.0,overload
568,28.4,0.01864,2.2995,10000.0,10000.0,overload
569,28.45,0.01862,2.3018,10000.0,10000.0,overload
570,28.5,0.0186,2.3042,10000.0,10000.0,overload
571,28.55,0.01858,2.3065,10000.0,10000.0,overload
572,28.6,0.01856,2.3089,10000.0,10000.0,overload
573,28.65,0.01854,2.3112,10000.0,10000.0,overload
574,28.7,0.01852,2.3136,10000.0,10000.0,overload
575,28.75,0.0185,2.316,10000.0,10000.0,overload
576,28.8,0.01848,2.3183,10000.0,10000.0,overload
577,28.85,0.01846,2.3207,10000.0,10000.0,overload
578,28.9,0.01844,2.323,10000.0,10000.0,overload
579,28.95,0.01842,2.3254,10000.0,10000.0,overload
580,29.0,0.0184,2.3278,10000.0,10000.0,overload
581,29.05,0.01838,2.3301,10000.0,10000.0,overload
582,29.1,0.01836,2.3325,10000.0,10000.0,overload
583,29.15,0.01834,2.3349,10000.0,10000.0,overload
584,29.2,0.01832,2.3372,10000.0,10000.0,overload
585,29.25,0.0183,2.3396,10000.0,10000.0,overload
586,29.3,0.01828,2.3419,10000.0,10000.0,overload
587,29.35,0.01826,2.3443,10000.0,10000.0,overload
588,29.4,0.01824,2.3467,10000.0,10000.0,overload
589,29.45,0.01822,2.349,10000.0,10000.0,overload
590,29.5,0.0182,2.3514,10000.0,10000.0,overload
591,29.55,0.01818,2.3537,10000.0,10000.0,overload
592,29.6,0.01816,2.3561,10000.0,10000.0,overload
593,29.65,0.01814,2.3585,10000.0,10000.0,overload
594,29.7,0.01812,2.3608,10000.0,10000.0,overload
595,29.75,0.0181,2.3632,10000.0,10000.0,overload
596,29.8,0.01808,2.3656,10000.0,10000.0,overload
597,29.85,0.01806,2.3679,10000.0,10000.0,overload
598,29.9,0.01804,2.3703,10000.0,10000.0,overload
599,29.95,0.01802,2.3727,10000.0,10000.0,overload
600,30.0,0.018,2.375,10000.0,10000.0,overload
601,30.05,0.01798,2.3774,10000.0,10000.0,overload
602,30.1,0.01796,2.3798,10000.0,10000.0,overload
603,30.15,0.01794,2.3821,10000.0,10000.0,overload
604,30.2,0.01792,2.3845,10000.0,10000.0,overload
605,30.25,0.0179,2.3868,10000.0,10000.0,overload
606,30.3,0.01788,2.3892,10000.0,10000.0,overload
607,30.35,0.01786,2.3916,10000.0,10000.0,overload
608,30.4,0.01784,2.3939,10000.0,10000.0,overload
609,30.45,0.01782,2.3963,10000.0,10000.0,overload
610,30.5,0.0178,2.3987,10000.0,10000.0,overload
611,30.55,0.01778,2.4011,10000.0,10000.0,overload
612,30.6,0.01776,2.4034,10000.0,10000.0,overload
613,30.65,0.01774,2.4058,10000.0,10000.0,overload
614,30.7,0.01772,2.4082,10000.0,10000.0,overload
615,30.75,0.0177,2.4105,10000.0,10000.0,overload
616,30.8,0.01768,2.4129,10000.0,10000.0,overload
617,30.85,0.01766,2.4153,10000.0,10000.0,overload
618,30.9,0.01764,2.4176,10000.0,10000.0,overload
619,30.95,0.01762,2.42,10000.0,10000.0,overload
620,31.0,0.0176,2.4224,10000.0,10000.0,overload
621,31.05,0.01758,2.4247,10000.0,10000.0,overload
622,31.1,0.01756,2.4271,10000.0,10000.0,overload
623,31.15,0.01754,2.4295,10000.0,10000.0,overload
624,31.2,0.01752,2.4319,10000.0,10000.0,overload
625,31.25,0.0175,2.4342,10000.0,10000.0,overload
626,31.3,0.01748,2.4366,10000.0,10000.0,overload
627,31.35,0.01746,2.439,10000.0,10000.0,overload
628,31.4,0.01744,2.4413,10000.0,10000.0,overload
629,31.45,0.01742,2.4437,10000.0,10000.0,overload
630,31.5,0.0174,2.4461,10000.0,10000.0,overload
631,31.55,0.01738,2.4485,10000.0,10000.0,overload
632,31.6,0.01736,2.4508,10000.0,10000.0,overload
633,31.65,0.01734,2.4532,10000.0,10000.0,overload
634,31.7,0.01732,2.4556,10000.0,10000.0,overload
635,31.75,0.0173,2.458,10000.0,10000.0,overload
636,31.8,0.01728,2.4603,10000.0,10000.0,overload
637,31.85,0.01726,2.4627,10000.0,10000.0,overload
638,31.9,0.01724,2.4651,10000.0,10000.0,overload
639,31.95,0.01722,2.4675,10000.0,10000.0,overload
640,32.0,0.0172,2.4699,10000.0,10000.0,overload
641,32.05,0.01718,2.4722,10000.0,10000.0,overload
642,32.1,0.01716,2.4746,10000.0,10000.0,overload
643,32.15,0.01714,2.477,10000.0,10000.0,overload
644,32.2,0.01712,2.4794,10000.0,10000.0,overload
645,32.25,0.0171,2.4818,10000.0,10000.0,overload
646,32.3,0.01708,2.4841,10000.0,10000.0,overload
647,32.35,0.01706,2.4865,10000.0,10000.0,overload
648,32.4,0.01704,2.4889,10000.0,10000.0,overload
649,32.45,0.01702,2.4913,10000.0,10000.0,overload
650,32.5,0.017,2.4937,10000.0,10000.0,overload
651,32.55,0.01698,2.496,10000.0,10000.0,overload
652,32.6,0.01696,2.4984,10000.0,10000.0,overload
653,32.65,0.01694,2.5008,10000.0,10000.0,overload
654,32.7,0.01692,2.5032,10000.0,10000.0,overload
655,32.75,0.0169,2.5056,10000.0,10000.0,overload
656,32.8,0.01688,2.508,10000.0,10000.0,overload
657,32.85,0.01686,2.5104,10000.0,10000.0,overload
658,32.9,0.01684,2.5127,10000.0,10000.0,overload
659,32.95,0.01682,2.5151,10000.0,10000.0,overload
660,33.0,0.0168,2.5175,10000.0,10000.0,overload
661,33.05,0.01678,2.5199,10000.0,10000.0,overload
662,33.1,0.01676,2.5223,10000.0,10000.0,overload
663,33.15,0.01674,2.5247,10000.0,10000.0,overload
664,33.2,0.01672,2.5271,10000.0,10000.0,overload
665,33.25,0.0167,2.5295,10000.0,10000.0,overload
666,33.3,0.01668,2.5318,10000.0,10000.0,overload
667,33.35,0.01666,2.5342,10000.0,10000.0,overload
668,33.4,0.01664,2.5366,10000.0,10000.0,overload
669,33.45,0.01662,2.539,10000.0,10000.0,overload
670,33.5,0.0166,2.5414,10000.0,10000.0,overload
671,33.55,0.01658,2.5438,10000.0,10000.0,overload
672,33.6,0.01656,2.5462,10000.0,10000.0,overload
673,33.65,0.01654,2.5486,10000.0,10000.0,overload
674,33.7,0.01652,2.551,10000.0,10000.0,overload
675,33.75,0.0165,2.5534,10000.0,10000.0,overload
676,33.8,0.01648,2.5558,10000.0,10000.0,overload
677,33.85,0.01646,2.5582,10000.0,10000.0,overload
678,33.9,0.01644,2.5606,10000.0,10000.0,overload
679,33.95,0.01642,2.563,10000.0,10000.0,overload
680,34.0,0.0164,2.5654,10000.0,10000.0,overload
681,34.05,0.01638,2.5678,10000.0,10000.0,overload
682,34.1,0.01636,2.5702,10000.0,10000.0,overload
683,34.15,0.01634,2.5726,10000.0,10000.0,overload
684,34.2,0.01632,2.575,10000.0,10000.0,overload
685,34.25,0.0163,2.5774,10000.0,10000.0,overload
686,34.3,0.01628,2.5798,10000.0,10000.0,overload
687,34.35,0.01626,2.5822,10000.0,10000.0,overload
688,34.4,0.01624,2.5846,10000.0,10000.0,overload
689,34.45,0.01622,2.587,10000.0,10000.0,overload
690,34.5,0.0162,2.5894,10000.0,10000.0,overload
691,34.55,0.01618,2.5918,10000.0,10000.0,overload
692,34.6,0.01616,2.5942,10000.0,10000.0,overload
693,34.65,0.01614,2.5966,10000.0,10000.0,overload
694,34.7,0.01612,2.599,10000.0,10000.0,overload
695,34.75,0.0161,2.6014,10000.0,10000.0,overload
696,34.8,0.01608,2.6038,10000.0,10000.0,overload
697,34.85,0.01606,2.6062,10000.0,10000.0,overload
698,34.9,0.01604,2.6086,10000.0,10000.0,overload
699,34.95,0.01602,2.6111,10000.0,10000.0,overload
700,35.0,0.016,2.6135,10000.0,10000.0,overload
701,35.05,0.01598,2.6159,10000.0,10000.0,overload
702,35.1,0.01596,2.6183,10000.0,10000.0,overload
703,35.15,0.01594,2.6207,10000.0,10000.0,overload
704,35.2,0.01592,2.6231,10000.0,10000.0,overload
705,35.25,0.0159,2.6255,10000.0,10000.0,overload
706,35.3,0.01588,2.628,10000.0,10000.0,overload
707,35.35,0.01586,2.6304,10000.0,10000.0,overload
708,35.4,0.01584,2.6328,10000.0,10000.0,overload
709,35.45,0.01582,2.6352,10000.0,10000.0,overload
710,35.5,0.0158,2.6376,10000.0,10000.0,overload
711,35.55,0.01578,2.64,10000.0,10000.0,overload
712,35.6,0.01576,2.6425,10000.0,10000.0,overload
713,35.65,0.01574,2.6449,10000.0,10000.0,overload
714,35.7,0.01572,2.6473,10000.0,10000.0,overload
715,35.75,0.0157,2.6497,10000.0,10000.0,overload
716,35.8,0.01568,2.6521,10000.0,10000.0,overload
717,35.85,0.01566,2.6546,10000.0,10000.0,overload
718,35.9,0.01564,2.657,10000.0,10000.0,overload
719,35.95,0.01562,2.6594,10000.0,10000.0,overload
720,36.0,0.0156,2.6618,10000.0,10000.0,overload
721,36.05,0.01558,2.6643,10000.0,10000.0,overload
722,36.1,0.01556,2.6667,10000.0,10000.0,overload
723,36.15,0.01554,2.6691,10000.0,10000.0,overload
724,36.2,0.01552,2.6716,10000.0,10000.0,overload
725,36.25,0.0155,2.674,10000.0,10000.0,overload
726,36.3,0.01548,2.6764,10000.0,10000.0,overload
727,36.35,0.01546,2.6788,10000.0,10000.0,overload
728,36.4,0.01544,2.6813,10000.0,10000.0,overload
729,36.45,0.01542,2.6837,10000.0,10000.0,overload
730,36.5,0.0154,2.6861,10000.0,10000.0,overload
731,36.55,0.01538,2.6886,10000.0,10000.0,overload
732,36.6,0.01536,2.691,10000.0,10000.0,overload
733,36.65,0.01534,2.6934,10000.0,10000.0,overload
734,36.7,0.01532,2.6959,10000.0,10000.0,overload
735,36.75,0.0153,2.6983,10000.0,10000.0,overload
736,36.8,0.01528,2.7008,10000.0,10000.0,overload
737,36.85,0.01526,2.7032,10000.0,10000.0,overload
738,36.9,0.01524,2.7056,10000.0,10000.0,overload
739,36.95,0.01522,2.7081,10000.0,10000.0,overload
740,37.0,0.0152,2.7105,10000.0,10000.0,overload
741,37.05,0.01518,2.713,10000.0,10000.0,overload
742,37.1,0.01516,2.7154,10000.0,10000.0,overload
743,37.15,0.01514,2.7179,10000.0,10000.0,overload
744,37.2,0.01512,2.7203,10000.0,10000.0,overload
745,37.25,0.0151,2.7227,10000.0,10000.0,overload
746,37.3,0.01508,2.7252,10000.0,10000.0,overload
747,37.35,0.01506,2.7276,10000.0,10000.0,overload
748,37.4,0.01504,2.7301,10000.0,10000.0,overload
749,37.45,0.01502,2.7325,10000.0,10000.0,overload
750,37.5,0.015,2.735,10000.0,10000.0,overload
751,37.55,0.01498,2.7374,10000.0,10000.0,overload
752,37.6,0.01496,2.7399,10000.0,10000.0,overload
753,37.65,0.01494,2.7423,10000.0,10000.0,overload
754,37.7,0.01492,2.7448,10000.0,10000.0,overload
755,37.75,0.0149,2.7473,10000.0,10000.0,overload
756,37.8,0.01488,2.7497,10000.0,10000.0,overload
757,37.85,0.01486,2.7522,10000.0,10000.0,overload
758,37.9,0.01484,2.7546,10000.0,10000.0,overload
759,37.95,0.01482,2.7571,10000.0,10000.0,overload
760,38.0,0.0148,2.7595,10000.0,10000.0,overload
761,38.05,0.01478,2.762,10000.0,10000.0,overload
762,38.1,0.01476,2.7645,10000.0,10000.0,overload
763,38.15,0.01474,2.7669,10000.0,10000.0,overload
764,38.2,0.01472,2.7694,10000.0,10000.0,overload
765,38.25,0.0147,2.7719,10000.0,10000.0,overload
766,38.3,0.01468,2.7743,10000.0,10000.0,overload
767,38.35,0.01466,2.7768,10000.0,10000.0,overload
768,38.4,0.01464,2.7793,10000.0,10000.0,overload
769,38.45,0.01462,2.7817,10000.0,10000.0,overload
770,38.5,0.0146,2.7842,10000.0,10000.0,overload
771,38.55,0.01458,2.7867,10000.0,10000.0,overload
772,38.6,0.01456,2.7891,10000.0,10000.0,overload
773,38.65,0.01454,2.7916,10000.0,10000.0,overload
774,38.7,0.01452,2.7941,10000.0,10000.0,overload
775,38.75,0.0145,2.7966,10000.0,10000.0,overload
776,38.8,0.01448,2.799,10000.0,10000.0,overload
777,38.85,0.01446,2.8015,10000.0,10000.0,overload
778,38.9,0.01444,2.804,10000.0,10000.0,overload
779,38.95,0.01442,2.8065,10000.0,10000.0,overload
780,39.0,0.0144,2.8089,10000.0,10000.0,overload
781,39.05,0.01438,2.8114,10000.0,10000.0,overload
782,39.1,0.01436,2.8139,10000.0,10000.0,overload
783,39.15,0.01434,2.8164,10000.0,10000.0,overload
784,39.2,0.01432,2.8189,10000.0,10000.0,overload
785,39.25,0.0143,2.8214,10000.0,10000.0,overload
786,39.3,0.01428,2.8238,10000.0,10000.0,overload
787,39.35,0.01426,2.8263,10000.0,10000.0,overload
788,39.4,0.01424,2.8288,10000.0,10000.0,overload
789,39.45,0.01422,2.8313,10000.0,10000.0,overload
790,39.5,0.0142,2.8338,10000.0,10000.0,overload
791,39.55,0.01418,2.8363,10000.0,10000.0,overload
792,39.6,0.01416,2.8388,10000.0,10000.0,overload
793,39.65,0.01414,2.8413,10000.0,10000.0,overload
794,39.7,0.01412,2.8438,10000.0,10000.0,overload
795,39.75,0.0141,2.8463,10000.0,10000.0,overload
796,39.8,0.01408,2.8488,10000.0,10000.0,overload
797,39.85,0.01406,2.8513,10000.0,10000.0,overload
798,39.9,0.01404,2.8537,10000.0,10000.0,overload
799,39.95,0.01402,2.8562,10000.0,10000.0,overload
